lambda_um,n,k
3.8462,1.376,1e-06
3.8536,1.376,1e-06
3.861,1.375,1e-06
3.8685,1.375,1e-06
3.876,1.375,1e-06
3.8835,1.375,1e-06
3.8911,1.375,1e-06
3.8986,1.375,1e-06
3.9063,1.375,1e-06
3.9139,1.375,1e-06
3.9216,1.375,1e-06
3.9293,1.375,1e-06
3.937,1.375,1e-06
3.9448,1.375,1e-06
3.9526,1.375,1e-06
3.9604,1.375,1e-06
3.9683,1.374,1e-06
3.9761,1.374,1e-06
3.9841,1.374,1e-06
3.992,1.374,1e-06
4.008,1.374,1e-06
4.0161,1.374,1e-06
4.0241,1.374,1e-06
4.0323,1.373,1e-06
4.0404,1.373,1e-06
4.0486,1.373,1e-06
4.0568,1.373,1e-06
4.065,1.373,1e-06
4.0733,1.373,1e-06
4.0816,1.372,1e-06
4.09,1.372,1e-06
4.0984,1.372,1e-06
4.1068,1.372,1e-06
4.1152,1.372,1e-06
4.1237,1.372,1e-06
4.1322,1.372,1e-06
4.1408,1.372,1e-06
4.1494,1.372,1e-06
4.158,1.371,1e-06
4.1667,1.371,1e-06
4.1754,1.371,1e-06
4.1841,1.37,1e-06
4.1929,1.37,1e-06
4.2017,1.37,1e-06
4.2105,1.37,1e-06
4.2194,1.37,1e-06
4.2283,1.37,1e-06
4.2373,1.37,1e-06
4.2463,1.369,1e-06
4.2553,1.369,1e-06
4.2644,1.369,1e-06
4.2735,1.368,1e-06
4.2827,1.368,1e-06
4.2918,1.368,1e-06
4.3011,1.368,1e-06
4.3103,1.368,1e-06
4.3197,1.368,1e-06
4.329,1.368,1e-06
4.3384,1.368,1e-06
4.3478,1.367,1e-06
4.3573,1.367,1e-06
4.3668,1.367,1e-06
4.3764,1.367,1e-06
4.3856,1.367,1e-06
4.3956,1.367,1e-06
4.4053,1.367,1e-06
4.415,1.367,1e-06
4.4248,1.366,1e-06
4.4446,1.366,0.001
4.4543,1.366,0.001
4.4643,1.366,0.001
4.4743,1.366,0.001
4.4843,1.366,0.001
4.4944,1.366,0.001
4.5045,1.365,0.001
4.5147,1.365,0.001
4.5249,1.365,0.001
4.5351,1.365,0.001
4.5455,1.365,0.001
4.5558,1.365,0.001
4.5662,1.365,0.001
4.5767,1.364,0.001
4.5872,1.364,0.001
4.5977,1.364,0.001
4.6083,1.364,0.001
4.6189,1.364,0.001
4.6296,1.364,0.001
4.6404,1.364,0.001
4.6512,1.364,0.001
4.662,1.363,0.001
4.6729,1.363,0.001
4.6838,1.363,0.001
4.6948,1.363,0.001
4.7059,1.363,0.001
4.717,1.363,0.001
4.7281,1.362,0.002
4.7393,1.362,0.002
4.7506,1.362,0.002
4.7619,1.362,0.001
4.7733,1.362,0.001
4.7847,1.361,0.002
4.7962,1.361,0.002
4.8077,1.361,0.002
4.8193,1.36,0.002
4.8309,1.36,0.002
4.8426,1.36,0.002
4.8544,1.36,0.002
4.8662,1.36,0.002
4.878,1.36,0.002
4.89,1.36,0.002
4.902,1.36,0.002
4.914,1.359,0.002
4.9261,1.359,0.002
4.9383,1.359,0.002
4.9505,1.358,0.002
4.9628,1.358,0.003
4.9751,1.358,0.003
4.9875,1.358,0.004
5,1.358,0.004
5.0125,1.358,0.004
5.0251,1.358,0.004
5.0378,1.358,0.004
5.0505,1.358,0.004
5.0633,1.358,0.004
5.0761,1.358,0.004
5.0891,1.357,0.004
5.102,1.357,0.004
5.1151,1.357,0.004
5.1282,1.357,0.004
